full_name
Oki Setiana Dewi
Osvaldo Rio
Opie Kumis
Olivia Jensen
Oni syahrial
Opick
Olivia Lazuardy
Oline Mendeng
Ochi Rosdiana
Oded Danial
Oxcel
Pablo Benua
Pandji Pragiwaksono
Paramita Rusady
Patricia Gouw
Paula Verhouven
Pevita Pearce
Poppy Sovia
Prabowo Subianto
Primus Yustisio
Prisia Nasution
Putri Marino
Putri Titian
Prilly Latuconsina
Putra Aria Abu Jafar (Putra Uma)
Putry Delina Andriany Sutisna
Puadin Redi
Puan Maharani
Putu Bahagiana
Pratikno
Pramono Edhie
Partika Subagyo
Patricia Devina
Patricia Yora
Putri Ayu
Petra Sihombing
Pongki Barata
Paulus Partohap
Peggy Melati Sukma
Pong Harjatmo
Pingkan Mambo
Pamela Bowie
Poppy Bunga
Putri Anne
Putri Ayudya
Putri Una
Pipik Dian Irawati
Pandu Winoto
Pidi Baiq
Qausar Harta
Qori Sandioriva
Rachel Amanda
Rafael Landry Tanubrata
Raffi Ahmad
Rahma Azhari
Raisa
Raline Shah
Ramzi Geys
Randy Pangalila
Ray Sahetapy
Rayi Putra
Rebbeca Tamara
Reggy Prabowo
Regina Ivanova Polapa 
Reino Barack
Revalina S Temat
Revand Narya
Revi Mariska
Rey Utami
Reza Artamevia
Reza Oktovian
Reza Rahadian
Rezky Aditya
Ria Sukma Wijaya
Ria Yunita
Riafinola Infani Sari
Rianti Cartwright
Ricky Harun
Ricky Perdana
Ridho Rhoma
Ridwan Kamil
Rina Nose
Ringgo Agus
Rinni Wulandari
Rio Dewanto
Rio Febrian
Rio Haryanto
Ririn Dwi Arianti
Risty Tagor
Rizky Febian 
Rizky Nazar
Rocky Gerung
Romy Rafael
Roger Danuarta
Rosiana Silalahi
Roy Marten
Rossa Handayani
Ruben Onsu
Rinrin Marinka
Ruth Sahanaya
Rini Fatimah (Syahrini)
Risa Saraswati
Rano Karno
Rieke Diah Pitaloka
Ronal Surapradja
Rony Antonius 
Roy Kiyoshi
Ririn Dwi Ariyanti
Rianti Cartwright
Ryan Delon
Randy Pangalila
Resti Surtika (Aci Resti)
Rachel Vennya
Randy Martin
Ranty Maria
Rara Febtarina
Raul Lemos
Rezky Aditya
Ria Miranda
Richard Kyle
Ricky Cuaca
Rieta Amilia Beta
Rifka Martha
Rizky Alatas
Rizky Kinos
Risty Tagor
Riri Riza
Ria Ricis
Rifky Balweel
Rachman Avri
Renny Sutiyoso
Rudy Salim
Retno Lestari
Rudiantara
Ryamizard Ryacudu
Rachel Octavia
Rudi Rubiandini
Raja Juli Antoni
Roy Suryo
Ryana Dea
Rangga Dewamoela
Rini Seomarno
Rian Ernest
Rizal Ramli
Reuben Nathaniel
Rahmania Astrini
Reynold Lawalata
Randy Kjaernett
Rendy Septino
Rachel Goddard
Rani Ramadhany
Rhoma Irama
Rian Ekky Pradipta
Rich Brian
Rieke Roslan
Rina Gunawan
Rizky Hanggono
Rizal Mantovani
Rudi Soedjarwo
Rima Melati
Rudy Wowor
Ranty Purnamasari
Ratna Galih
Robby Purba
Renata Kusmanto
Ria Sarwono
Rachel Maryam
Rachquel Nesia
Rahayu Saraswati
Rebecca Kloper
Rina Diana
Raquel Katie
Riza Syah
Ria Enes
Raditya Dika
Rafi Sanjaya
Ridho Ilahi
Riza Shahab
Rangga Azof
Rosiana Dewi
Rayn Wijaya
Rini Wulandari
Raisya Olfat
Ridwan Hafidz
Sabai Morscheck
Sabrang Mowo
Sabrina Sameh
Sahila Hisyam
Sahrul Gunawan
Salmafina
Salshabilla Adriani
Said Aqil Siradj
Saipul Jamil
Samijan
Sammy Simorangkir
Samuel Rizal
Samuel Zylgwyn
Sandiaga  Uno
Sandra Dewi
Sandy Sandoro
Sandy Tumiwa
Sarah Azhari
Sarah Sechan
Sarah Wijayanto
Sarita Abdul Mukti
Sarwendah Tan
Seto Mulyadi
Shafa Harris
Shaloom Razade
Shandy Aulia
Sharrena Gunawan
Shawn Adrian
Sheila Marcia
Sherina
Sheryl Sheinafia
Sheza Idris
Shezy Idris
Shireen Sungkar
Sigit Purnomo
Sissy Priscillia
Sivia Azizah
Soimah Pancawati
Soleh Solihun
Sonya Pandarmawan
Sophia Latjuba
Sri Mulyani Indrawati
Stefan Wiliam
Steffi Zamora
Stephanie Poetri
Stuart Collin
Sunarji
Sujiwo Tejo 
Surkianih (Zaskia Gotik)
Surya Saputra
Susi Pudjiastuti
Susi Susanti
Susilo Bambang Yudhoyono
Syahbudin Syukur (Budi Doremi)
Syahnaz Sadiqah
Syifa Hadju
Sigit Purnomo (Pasha)
Soimah Pancawati
Silvia Damayanti (kamaya)
Shandy Aulia
Steve Emanuel
Sunan Kalijaga
Sylvia Fully
Sozanolo Krisnanjaya Harefa
Sonia Fergina
Sari Endah Pratiwi
Shirin Al Athrus
Sinta Sri Antan
Siti Badriah
Suci Utami
Setya Novanto
Suhay Salim
Syanindita Trasysty Syswanto
Sutiyoso
Sutan Pinayungan Simatupang 
Sahira Anjani
Shafira Umm
Siti Nurbaya Bakar
Sofyan Djalil
Saleh Husin
Sohibul Iman
Salim Segaf
Suryadharma Ali
Sudirman Said
Sisilia Ora
Sharena Gunawan
Shania Junianatha
Sindy Havresthino
Sarah Tria Monita
Seraldi
Sadana Agung
Sogi Indra Dhuaja
