full_name,instagram_username
Cut Mini,p/BgqTQ45n9It
Clara Bernadeth,clarabernadeth
Cheryl Raissa,cherylraissa
Cinta Rumana Amelz,cintaruhamaamelz
Cinta Laura Kiehl,claurakiehl
Cikitha Meidy,chikitameidy
Cecep Arif Rahman,ceceparifrahman
Christine Hakim,explore/tags/christinehakim
Cathy Natafitria Fakandi,cathyfakandi
Cut Beby Tshabina,bebytsabina
Clarissa Putri ,clarissaputri_
Chintami Atmanegara,Not Found
Chintya Sari,chintyasari.msi
Caca Handika,handikacaca367
Camelia Malik,cameliamalik234
Chyntiara Alona,p/BkavKPRF5PA
Caca Tengker,cacatengker
Dahlan Iskan,dahlaniskan19
Dahlia Poland,dahliachr
Dallas Pratama,dalprats
Danilla Riyadi,danillariyadi
Daniel Mananta,vjdaniel
Daniel Topan,topandaniel45
Darius Sinathrya,darius_sinathrya
Deddy Corbuzier,mastercorbuzier
Delon Thamrin / Stanislaus,p/BkYuAgXnQWX
Dena Rachman,denarachman
Denny Sumargo,sumargodenny
Denny Wahyudi,_dennywyd
Desta,desta80s
Deddy Mizwar,deddy_mizwar
Demian Aditya,_demianaditya_
Derby Romero,derbyromero
Desy Ratnasari,desyratnasarifans
Deva Mahendra,devamahenra
Devina Aureel,devinaureel
Devano Danendra,devdanendra
Dewi Gita,Not Found
Devi Kinal Putri,kinalputridevi
Dewi Lestari / Dee Lestari,deelestari
Dewi Persik,dewiperssikreal
Dewi Rezer,rezerdewi
Dewi Sandra,dewisandra
Dewi Yull,dewiyullofficial
Dhani Ahmad Prasetyo,ahmaddhaniprast
Dhini Aminarti,dhiniaminarti
Di Muhammad Devirzha,virzhaofficial
Dian Ayu Lestari,dianayulestari
Dian Sastrowardoyo,therealdisastr
Didi Mahardika,Not Found
Didi Riyadi,didiriyadi_official/tagged
Dion Wiyoko,dionwiyoko
Dikta Wicaksono,dikta
Dimas Anggara,dimsanggara
Dimas Beck,dimasbeck
Dimas Danang,dananggoldluck
Dimas Seto,dimasseto_1
Dinda Kirana,dindakirana.s
Dini Aminarti,dhiniaminarti
Dita Sumargo,Not Found
Dude Harlino,dude2harlino
Dodit Mulyanto,dodit_mul
Donna Harun,explore/tags/donnaharun
Donita,donitabhubiy
Dorce Gamalama,dg_kcp
Derby Romero,derbyromero
Dwi Andhika,dwiandhika3486
Dwi Sasono,dwisasono
Dedi Gumelar,dedygumelar
Denira Wiraguna,denirawiraguna
Dwi Handayani Syah Putri,dwihandaanda
Dia Sekala Bumi,ayudiac
Dian Pelangi,dianpelangi
Dinda Kanya Dewi,dindakanyaa
David Nurbianto,david_nurbianto
Dodit Mulyanto ,dodit_mul
Dinda Kirana,dindakirana.s
Dzawin Nur Ikram,dzawin_nur
Darmin Nasution,p/BeUT34JnFBu
Danita Vinarosa,danitasigarlaki
Dhea Annisa (Dea imut),deaaannisa
Dewi Irawan,dewiirawan13
Dicky Maulana Prasetya,Not Found
Diah Permatasari,diahpermatasari_d_p_s
Dellie Threesyadinda,delliedinda
Deswita Maharani,deswitamaharani80
Dr.Boyke,drboykediannugraha
Djuhri Masdjan (Jojon),p/BqSZPP5nNFM
Dylan Carr,dylancarr8
Dita Fakhrana Utami,fakhranaa_official
Dandy Hendstyo,dandyhendstyo
Dinesia,explore/tags/dinesia/top
Daemita Argoebie,damitaargoebie
Davina Veronica,davinaveronica
Della Dartyan,delladartyan
Dhea Seto,dheaseto
Dinda Hauw,dindahw
Dominique Diyose,dominiquediyose
Donna Agnesia,dagnesia
Desi Florita,florita.desi
Denny Chandra,dennych
Diana Rikasari,dianarikasari
Dhana Xaviera,dhanaxaviera
Dira Sugandi,dirasugandi
Dipha Barus,diphabarus
Daus Separo,daus_separo
Djenar Maesa Ayu,djenarmaesaayu
Dimas Djayadiningrat,p/BqW3QZdnzT7
Deny Mulyadi (Ohang),Not Found
Dennis Adhiswara,dennisadishwara
Didi Petet,explore/tags/didipetet
Delania Marvella,delaniamarvella
Djauhari Oratmangun,djauharioratmangun
David Bayu,davidbayudj
Dave Hendrik,davehendrik
Diajeng Lestari,diajenglestari
Dedi Mulyadi,dedimulyadi71
Dahnil Anzar,dahnil_anzar_simanjuntak
Dea Dalila,p/BDS_qzvLevh
Dayu Dara Permata,dayudara
Darwis Triadi,darwis_triadi
Donny Damara,donnydamara68
Denny Darko,_dennydarko_
Didiet Maulana,didietmaulana
Daniel Wenas,danielwenas
Dave Jephcott,p/BRLX8f3jPQH
Debo Andryos Aryanto,deboys13
Debi Sagita,debisagita
Delia Septianti,ds_deliaseptianti
Danang Pradana Dieva,da2_danang
Dara Rizky,darathevirgin
Dewa Budjana,dewabudjana
Dewi Sanca,dewisancaratular
Dian Nitami,bu_deedee
Dhawiya Zaida,Not Found
Dian Pramana Putra,Not Found
Didi Kempot,explore/tags/didikempot
Dodi Hidayatullah,dodihidayatullah
Deddy Dores,explore/tags/deddydores
Deven Christiandi Putra,devennatic_surabaya
Dirly dave Sompie,p/BlZk1mugYOJ
Duma Riris,duma_riris
Eddy Soepono,Not Found
Edho Pratama,edhozell
Edo Borne,Not Found
Eko Patrio,ekopatriosuper
Elichon Christellgo (igo pentury) ,Not Found
Ence Bagus,encebagus_
Endy Arfian,endyarfian22
Entis Sutisna ,sutisna_e
Enzy Historia,enzystoria
Erdian Aji (Anji),duniamanji
Edric Tjandra,edrictjandra
Edward Akbar,edward_akbar
Edi John,jguaido
Ersya Aurelia,ersyaurel
Erick Thohir,erickthohir
Ericko Lim,ericko_lim
Eriska Rein,eriskarein
Ernest Prakasa,ernestprakasa
Ersa Mayori,ersamayori
Ervan Naro,ervan.naro
Ery Makmur,p/Bloyrf4l7_h
Esa Sigit,esasigit
Evie Effendi,Not Found
Erwin Gutawa,eg.erwingutawa
Elly Sugigi,Not Found
Eva Celia,evacelia
Evan Sanders,iam.evansanders
Evelyn Anjani,evelinnadaanjani
Elma Agustin,elmaaa_e
Eko Putro Sandjojo,ekoputrosandjojo
Enggartiasto Lukita,enggartiastolukita
Eno Bening,eno_bening
Eza Gionino,ezagio
Ephy Sekuriti,p/BaYOaWGBUXe
Egy Maulana Vikri,egymaulanavikri
Emil Dardak ,emildardak
Edho Zell,edhozell
Eka Gustiwana,ekagustiwana
Ebiet G. Ade,explore/tags/ebietgade
Elma Theana,elmatheana
Eros Djarot,nova.suryani8210
Edi Brokoli,brokoli_edi
Elga Elaskia,elgaelaskia
Eka Nusa Pertiwi,ekanusapertiwi1990
Elvy Sukaesih,elvy_sukaesih
Estelle Linden,estelleelinden
Elyzia Muchalela,elyziamulachela
Eugenie Patricia,Not Found
Edy Rahmayadi,edy_rahmayadi
Enno Lerian,ennolerian_
Eza Yayang,ezayayang
Erwin Gutawa,eg.erwingutawa
Erie Suzan,eriesuzan
